Login,Role,Standard Role,Role Base Name,Role Group
valters,Developer,Developer - Mid,Developer,3 - Mid-Level
vancex,Developer,Developer - Mid,Developer,3 - Mid-Level
vancexia,Developer,Developer - Mid,Developer,3 - Mid-Level
vanessa.fernandes,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
vanessac,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
vanessafaustino,Developer,Developer - Sr,Developer,4 - Senior
vanessagf,Tester,QA - Sr,QA,4 - Senior
vanessaheld,Developer,Developer - Mid,Developer,3 - Mid-Level
vanessam,UX Researcher,UX Specialist - Mid,UX Specialist,3 - Mid-Level
vanessanascimento,Squad Leader,Scrum Master,Scrum Master,4 - Senior
vanessaoc,UI Designer,UI Designer - Jr,UI Designer,2 - Junior
vanessapanosso,Developer,Developer - Sr,Developer,4 - Senior
vanessats,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
vanessavf,Squad Leader,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
vania,Product Designer Expert,Not Applicable,Not Applicable,5 - Master / Manager
varantes,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
vbarbutti,Product Manager,Product Manager,Product Manager,5 - Master / Manager
vbarone,Developer,Developer - Sr,Developer,4 - Senior
vbarreto,Developer,Developer - Sr,Developer,4 - Senior
vbarriquelo,Developer,Developer - Mid,Developer,3 - Mid-Level
vbarros,Developer,Developer - Sr,Developer,4 - Senior
vbatista,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
vcampos,Tester Master,QA - Master,QA,5 - Master / Manager
vcardenas,Product Manager-Americas,Business Analyst - Mid,Business Analyst,3 - Mid-Level
vcassaro,Developer,Developer - Mid,Developer,3 - Mid-Level
vcastro,Developer,Intern,Intern,1 - Intern
vchagas,Developer,Developer - Mid,Developer,3 - Mid-Level
vclarindo,Developer,Developer - Jr,Developer,2 - Junior
vcoelho,Developer,Developer - Sr,Developer,4 - Senior
vcoluci,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
vcordova,DevOps,Not Applicable,Not Applicable,3 - Mid-Level
