Login,Role,Standard Role,Role Base Name,Role Group
edsongj,Tester,QA - Mid,QA,3 - Mid-Level
edsongr,Senior Data & Analytics Manager,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
edsonlima,Developer,Developer - Jr,Developer,2 - Junior
eduardag,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardap,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardo,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
eduardo.alevi,Developer Master,Developer - Master,Developer,5 - Master / Manager
eduardo.costa,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
eduardo.curti,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
eduardo.judici,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
eduardo.lima,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
eduardo.oliveira,Developer,Developer - Sr,Developer,4 - Senior
eduardoam,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
eduardoazevedo,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardobellis,Principal Data Architect,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
eduardobesson,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
eduardobh,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
eduardocastro,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardocb,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardocg,Scrum Master,Scrum Master,Scrum Master,4 - Senior
eduardocq,Tester,QA - Sr,QA,4 - Senior
eduardodp,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardoes,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
eduardofacanha,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardoferreira,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardogm,Developer,Developer - Sr,Developer,4 - Senior
eduardohs,Developer,Developer - Sr,Developer,4 - Senior
eduardoky,Developer,Developer - Sr,Developer,4 - Senior
eduardolo,Developer,Developer - Sr,Developer,4 - Senior
eduardomn,Squad Leader,Scrum Master,Scrum Master,4 - Senior
eduardomuller,Developer,Developer - Sr,Developer,4 - Senior
eduardopaixao,DevOps,Not Applicable,Not Applicable,4 - Senior
eduardopereira,Developer,Developer - Mid,Developer,3 - Mid-Level
eduardoruela,Developer,Developer - Jr,Developer,2 - Junior
eduardos,Scrum Master,Scrum Master,Scrum Master,4 - Senior
eduardosaute,Developer Master,Developer - Master,Developer,5 - Master / Manager
eduardosf,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
eduardovc,Developer,Developer - Sr,Developer,4 - Senior
eduardox,Developer,Developer - Mid,Developer,3 - Mid-Level
edulopes,Developer,Developer - Sr,Developer,4 - Senior
edwardg,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
edwardw,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
efrezzarin,Support Master,Scrum Master,Scrum Master,4 - Senior
egavronski,Developer,Developer - Mid,Developer,3 - Mid-Level
eguanwen,Developer,Developer - Sr,Developer,4 - Senior
eguidi,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
eileench,Developer,Developer - Mid,Developer,3 - Mid-Level
eileenw,Tester,QA - Jr,QA,2 - Junior
eimereenalido,Developer,Developer - Sr,Developer,4 - Senior
ejunior,Developer,Developer - Sr,Developer,4 - Senior
ekoziol,Developer,Developer - Sr,Developer,4 - Senior
elaineargolo,Tester,QA - Jr,QA,2 - Junior
elained,Tester Master,QA - Master,QA,5 - Master / Manager
elainef,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
elaineg,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
elaineldo,Tester,QA - Mid,QA,3 - Mid-Level
elainepalomar,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
elaines,Tester,QA - Sr,QA,4 - Senior
elainesantos,Project Manager,Project Manager,Project Manager,5 - Master / Manager
elainesn,Tester,QA - Mid,QA,3 - Mid-Level
elany,Developer,Developer - Jr,Developer,2 - Junior
elaynep,Tester,QA - Sr,QA,4 - Senior
elber,Developer,Developer - Jr,Developer,2 - Junior
elciosj,Developer,Developer - Sr,Developer,4 - Senior
elderb,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
eldersantos,Developer,Developer - Sr,Developer,4 - Senior
eleandro,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
elen.salustiano,Developer,Developer - Mid,Developer,3 - Mid-Level
eleng,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
eleveny,Developer,Developer - Mid,Developer,3 - Mid-Level
elexsandro,Developer,Developer - Sr,Developer,4 - Senior
eliabe,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
eliakim,Tester,QA - Sr,QA,4 - Senior
elianags,Tester,QA - Sr,QA,4 - Senior
elianamunoz,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
elianep,Developer,Developer - Jr,Developer,2 - Junior
eliasfr,Developer,Developer - Sr,Developer,4 - Senior
eliasr,Developer,Developer - Sr,Developer,4 - Senior
elidamaris,Squad Leader,Scrum Master,Scrum Master,4 - Senior
eliel,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
eliel.oliveira,Developer,Intern,Intern,1 - Intern
elielc,Developer,Developer - Jr,Developer,2 - Junior
eliertonc,Developer,Developer - Sr,Developer,4 - Senior
elimaracs,Tester,QA - Mid,QA,3 - Mid-Level
elisabethd,Business Expert,Business Analyst - Sr,Business Analyst,5 - Master / Manager
elisabethf,Developer,Developer - Mid,Developer,3 - Mid-Level
elisaresende,Developer,Developer - Jr,Developer,2 - Junior
elisiane,Developer,Developer - Jr,Developer,2 - Junior
eliza,Squad Leader,Scrum Master,Scrum Master,4 - Senior
elizabethm,UX Researcher,UI Designer - Jr,UI Designer,2 - Junior
elizabethp,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
elizeucv,Developer,Developer - Mid,Developer,3 - Mid-Level
elizeun,Developer,Intern,Intern,1 - Intern
elland,Developer,Developer - Sr,Developer,4 - Senior
ellencaroline,Tester,QA - Mid,QA,3 - Mid-Level
ellengv,Developer,Developer - Sr,Developer,4 - Senior
ellenm,Developer,Intern,Intern,1 - Intern
ellenn,Tester,QA - Mid,QA,3 - Mid-Level
ellenv,Developer,Developer - Mid,Developer,3 - Mid-Level
elmirsn,Developer,Developer - Sr,Developer,4 - Senior
eloisaa,Developer,Developer - Mid,Developer,3 - Mid-Level
elquiasj,Developer,Intern,Intern,1 - Intern
elton.rodrigues,Developer,Developer - Sr,Developer,4 - Senior
eltonalmeida,Developer,Developer - Sr,Developer,4 - Senior
eltonbraga,Developer Master,Developer - Master,Developer,5 - Master / Manager
eltond,Developer,Developer - Sr,Developer,4 - Senior
eltongomes,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
eltonjohn,Developer,Developer - Sr,Developer,4 - Senior
eltonpereira,Tester,QA - Sr,QA,4 - Senior
eltonr,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
eltonsilva,Developer,Developer - Jr,Developer,2 - Junior
eltonsm,"Senior Director, Technology",Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
elvesonc,Developer,Intern,Intern,1 - Intern
emannuell,Tester,QA - Mid,QA,3 - Mid-Level
emannuelv,Tester,QA - Mid,QA,3 - Mid-Level
emanuel.silva,Developer,Intern,Intern,1 - Intern
emanuelc,Developer,Intern,Intern,1 - Intern
emanuellebs,Product Development Manager,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
emanuelm,Developer,Developer - Jr,Developer,2 - Junior
emanuels,Tester,QA - Sr,QA,4 - Senior
emanuelvictor,Tester,QA - Sr,QA,4 - Senior
emartoni,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
emausa,Developer,Developer - Mid,Developer,3 - Mid-Level
emelo,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
emersonbs,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
emersondiego,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
emersonfalcao,Developer,Developer - Sr,Developer,4 - Senior
emersonfl,Developer,Developer - Sr,Developer,4 - Senior
emersonfo,Developer,Developer - Sr,Developer,4 - Senior
emersonj,Developer Master,Developer - Master,Developer,5 - Master / Manager
emersonms,Developer,Developer - Sr,Developer,4 - Senior
emersonp,Developer,Developer - Mid,Developer,3 - Mid-Level
emersonsilva,Developer,Developer - Mid,Developer,3 - Mid-Level
emikow,Developer,Developer - Jr,Developer,2 - Junior
emilanoy,Developer,Intern,Intern,1 - Intern
emile.tavares,Developer,Developer - Mid,Developer,3 - Mid-Level
emilio.mason,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
emillyn,Developer,Developer - Mid,Developer,3 - Mid-Level
emillyp,Developer,Developer - Sr,Developer,4 - Senior
emillyvitoria,Developer,Developer - Jr,Developer,2 - Junior
emily.badillo,Tech Intern,Intern,Intern,1 - Intern
emily.buchanan,Quality Analyst,QA - Sr,QA,4 - Senior
emilyds,Developer,Developer - Jr,Developer,2 - Junior
emilysilva,Developer,Developer - Mid,Developer,3 - Mid-Level
emilyz,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
emorais,Developer,Developer - Sr,Developer,4 - Senior
emre.turan,Developer,Developer - Sr,Developer,4 - Senior
enaile.rebello,Developer,Developer - Sr,Developer,4 - Senior
endersonr,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
endryus,Developer,Developer - Sr,Developer,4 - Senior
eniojunior,Developer,Developer - Sr,Developer,4 - Senior
enonnemacher,Developer,Developer - Mid,Developer,3 - Mid-Level
enoronha,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
enrico.manfron,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
enzo.aldoney,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
enzo.posse,UX Designer,UX Specialist - Mid,UX Specialist,3 - Mid-Level
enzoalteia,Developer,Developer - Sr,Developer,4 - Senior
enzoq,Developer,Developer - Jr,Developer,2 - Junior
enzors,Developer,Developer - Mid,Developer,3 - Mid-Level
eokada,Principal Software Developer,Developer - Master,Developer,6 - Master 2 / Senior Manager
epapts,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
eparente,Developer,Developer - Sr,Developer,4 - Senior
epitacioj,Developer,Developer - Sr,Developer,4 - Senior
epolicarpo,Developer,Developer - Mid,Developer,3 - Mid-Level
eramos,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
ercilia,Developer,Developer - Sr,Developer,4 - Senior
erezende,Developer,Developer - Jr,Developer,2 - Junior
erialex,Developer,Developer - Sr,Developer,4 - Senior
eribeiro,Developer,Developer - Mid,Developer,3 - Mid-Level
erica.jones,Product Owner,Not Applicable,Not Applicable,4 - Senior
ericacarneiro,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
ericav,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
ericavalarini,Tester,QA - Jr,QA,2 - Junior
ericaw,Tester,QA - Mid,QA,3 - Mid-Level
ericchagas,Developer,Developer - Sr,Developer,4 - Senior
ericdegomar,Tester,QA - Mid,QA,3 - Mid-Level
ericjangola,Developer Master,Developer - Master,Developer,5 - Master / Manager
erick.shinotsuka,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
erick.vergara,Developer,Developer - Mid,Developer,3 - Mid-Level
erickbs,Tester,QA - Jr,QA,2 - Junior
erickfs,Developer,Developer - Mid,Developer,3 - Mid-Level
erickj,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
ericks,Developer,Developer - Sr,Developer,4 - Senior
erickss,Tester,QA - Sr,QA,4 - Senior
ericktrettel,Developer,Developer - Sr,Developer,4 - Senior
ericles,Tester,QA - Mid,QA,3 - Mid-Level
erics,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
erijames,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
erik.endler,Developer,Developer - Jr,Developer,2 - Junior
erik.thalheimer,Developer,Developer - Jr,Developer,2 - Junior
erika.tanigawa,Developer,Developer - Sr,Developer,4 - Senior
erikaag,Developer,Developer - Jr,Developer,2 - Junior
erikabda,Developer,Developer - Mid,Developer,3 - Mid-Level
erikaif,UX Designer,UX Specialist - Sr,UX Specialist,4 - Senior
erikap,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
erikas,Tester,QA - Mid,QA,3 - Mid-Level
eriksantos,Developer,Developer - Sr,Developer,4 - Senior
erildojc,Developer,Developer - Mid,Developer,3 - Mid-Level
erinz,Scrum Master,Scrum Master,Scrum Master,4 - Senior
erivaldosj,Developer,Developer - Jr,Developer,2 - Junior
erlhiton,Developer,Developer - Mid,Developer,3 - Mid-Level
erloncabral,Developer,Developer - Sr,Developer,4 - Senior
ernanefl,Developer Master,Developer - Master,Developer,5 - Master / Manager
ernestoc,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
esaheki,Data Architect,Not Applicable,Not Applicable,4 - Senior
eschneiker,Developer,Developer - Mid,Developer,3 - Mid-Level
esdrascastro,Developer,Developer - Sr,Developer,4 - Senior
esdrasp,Developer,Developer - Sr,Developer,4 - Senior
esiqueira,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
esli,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
esouza,Developer,Developer - Mid,Developer,3 - Mid-Level
esteban,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
esteban.ariza,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
esteban.salazar,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
estefanel,Developer,Intern,Intern,1 - Intern
estefanib,Developer,Intern,Intern,1 - Intern
esterb,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
estergc,Developer,Developer - Mid,Developer,3 - Mid-Level
estersilva,Developer,Developer - Mid,Developer,3 - Mid-Level
estevaom,Tester,QA - Sr,QA,4 - Senior
esthefaniem,Developer,Developer - Sr,Developer,4 - Senior
esther.silgado,Product Manager,Product Manager,Product Manager,5 - Master / Manager
estherbm,Developer,Developer - Mid,Developer,3 - Mid-Level
estomj,Developer,Developer - Jr,Developer,2 - Junior
estorolli,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
etof,Scrum Master,Scrum Master,Scrum Master,4 - Senior
eudoprimo,Developer,Developer - Sr,Developer,4 - Senior
eugeney,Developer,Developer - Sr,Developer,4 - Senior
eulateixeira,Developer,Developer - Jr,Developer,2 - Junior
eures,Developer,Intern,Intern,1 - Intern
eva.satiro,Tester,QA - Sr,QA,4 - Senior
evaldol,Developer,Developer - Sr,Developer,4 - Senior
evanchen,Developer,Developer - Mid,Developer,3 - Mid-Level
evandrofg,Developer,Developer - Sr,Developer,4 - Senior
evandroj,Developer,Developer - Jr,Developer,2 - Junior
evandronascimento,Developer,Developer - Sr,Developer,4 - Senior
evanyhelen,Developer,Developer - Jr,Developer,2 - Junior
evelek,Developer,Developer - Mid,Developer,3 - Mid-Level
evelinef,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
evelineg,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
evellyn,Tester,QA - Mid,QA,3 - Mid-Level
evellync,Developer,Developer - Mid,Developer,3 - Mid-Level
evelyn.guimaraes,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
evelynsilva,Developer,Developer - Mid,Developer,3 - Mid-Level
evelynz,Tester,QA - Jr,QA,2 - Junior
evenceslau,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
everson,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
eversonc,Developer,Developer - Sr,Developer,4 - Senior
evertonmelo,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
evertonreis,Developer,Developer - Sr,Developer,4 - Senior
evertonts,Developer,Developer - Mid,Developer,3 - Mid-Level
evertonwm,Developer,Intern,Intern,1 - Intern
evilasio,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
evinz,Developer,Developer - Mid,Developer,3 - Mid-Level
evirtuoso,Developer,Developer - Sr,Developer,4 - Senior
ewatanabe,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
ewellyn,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
ewertonsantos,Developer,Developer - Sr,Developer,4 - Senior
ewertonss,Developer,Developer - Jr,Developer,2 - Junior
ewolf,Tester,Not Applicable,Not Applicable,2 - Junior
ezampieri,Developer,Intern,Intern,1 - Intern
ezequielb,Developer,Developer - Sr,Developer,4 - Senior
ezequieljm,Developer Master,Developer - Master,Developer,5 - Master / Manager
fabia,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
fabian.acuna,Quality Analyst,QA - Sr,QA,4 - Senior
fabiana,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
fabiana.leite,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
fabianaf,Tester,QA - Mid,QA,3 - Mid-Level
fabianam,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
fabianas,Tester,QA - Mid,QA,3 - Mid-Level
fabianat,Data & Analytics Manager,Data Analyst - Master,Data Analyst,5 - Master / Manager
fabianea,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
fabianes,Support Master,Scrum Master,Scrum Master,4 - Senior
fabiano.audazi,Not Applicable,Not Applicable,Not Applicable,4 - Senior
fabianol,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
fabianolima,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
fabianolv,Developer,Developer - Sr,Developer,4 - Senior
fabianon,Developer,Developer - Mid,Developer,3 - Mid-Level
